Series	Series_Desc	Narrative_id	Theme_id	Subtheme_id	Tags
S_0010	Total female population aged 45-49 years	['NP23']	['POP']	['POP_SUB1']	population, demography
S_0020	Total population by age, sex	['NV14']	['POP']	['POP_SUB1']	population, demography
S_0030	Number of older persons aged 65+ and 80+	['NP20']	['POP']	['POP_SUB2']	population, demography, ageing
S_0040	Share of women among older persons aged 65+ and 80+	['NP20']	['POP']	['POP_SUB2']	population, demography, ageing
S_0050	Share of women and men aged 65+ and 80+ living alone	['NP20']	['POP']	['POP_SUB2']	population, demography, ageing
S_0060	Singulate mean age at first marriage	['NP21']	['POP']	['POP_SUB3']	population, demography, family, couples
S_0070	Proportion of women who were married or in a union before age 15	['NP25']	['POP']	['POP_SUB3']	population, demography, family, couples
S_0080	Proportion of women who were married or in a union before age 18	['NP25']	['POP']	['POP_SUB3']	population, demography, family, couples
S_0090	Proportions of women and men aged 20–24 who were married or in a union before age 15	['NP21']	['POP']	['POP_SUB3']	population, demography, family, couples
S_0100	Proportions of women and men aged 20–24 who were married or in a union before age 18	['NP21']	['POP']	['POP_SUB3']	population, demography, family, couples
S_0110	Proportion of divorced or separated persons aged 45–49 by sex and region	['NP22']	['POP']	['POP_SUB3']	population, demography, family, couples
S_0120	Proportion of widowed women and men aged 65-69 by sex and region	['NP22']	['POP']	['POP_SUB3']	population, demography, family, couples
S_0130	Female mean age of childbearing	['NP23']	['POP']	['POP_SUB4']	population, demography, family
S_0140	Mean age at first birth for first time parents by sex	['NP26']	['POP']	['POP_SUB4']	population, demography, family
S_0150	Total fertility rate	['NP23']	['POP']	['POP_SUB4']	population, demography, family
S_0170	Adolescent birth rate per 1,000 women aged 15-19 years	['NP21']	['POP']	['POP_SUB4']	population, demography, family
S_0180	Proportion of women aged 45 to 49 years who have not had a child	['NP23']	['POP']	['POP_SUB4']	population, demography, family
S_0185	Number of women aged 45 to 49 years who have not had a child	['NP23']	['POP']	['POP_SUB4']	population, demography, family
S_0190	Proportion of one-parent households by sex of parent	['NP18']	['POP']	['POP_SUB4']	population, demography, family
S_0200	Proportion of couples’ households with and without children	['NP18']	['POP']	['POP_SUB4']	population, demography, family
S_0220	Gross enrolment ratio in tertiary education, by sex	['NE10']	['EDU']	['EDU_SUB1']	education, enrolment
S_0230	Gender parity index of the gross enrolment ratios, by education level	['NE11']	['EDU']	['EDU_SUB1']	education, enrolment
S_0240	Rate (percent) of out-of-school children, adolescents and youth	['NE3']	['EDU']	['EDU_SUB1']	education, enrolment
S_0250	Adjusted gender parity index of out-of-school rate	['NE3']	['EDU']	['EDU_SUB1']	education, enrolment
S_0260	Schools with access to access to single-sex basic sanitation, by education level (%)	['NE12']	['EDU']	['EDU_SUB1']	education, enrolment
S_0270	School attendance rate of the population aged 15 to 24	['NE1']	['EDU']	['EDU_SUB1']	education, enrolment
S_0280	Participation rate in technical and vocational programmes (15- to 24-year-olds), by sex	['NE13']	['EDU']	['EDU_SUB1']	education, enrolment
S_0290	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (percent)	['NE5']	['EDU']	['EDU_SUB2']	education, quality
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	['NE2']	['EDU']	['EDU_SUB2']	education, quality
S_0310	Minimum proficiency in reading in Zimbabwe, by education level and sex (%)	['NE2']	['EDU']	['EDU_SUB2']	education, quality
S_0320	Proportion of children and young people achieving at least a minimum proficiency level in mathematics, by sex	['NE14']	['EDU']	['EDU_SUB2']	education, quality
S_0330	Proportion of children and young people achieving at least a minimum proficiency level in reading, by sex	['NE14']	['EDU']	['EDU_SUB2']	education, quality
S_0340	School completion rate	['NE6']	['EDU']	['EDU_SUB2']	education, quality
S_0350	Literacy rate	['NE7']	['EDU']	['EDU_SUB2', 'EDU_SUB4']	education, quality, ageing
S_0360	Share of female graduates at tertiary level, by area of study	['NE15']	['EDU']	['EDU_SUB3']	education, youth
S_0370	Proportion of females among tertiary education teachers or professors	['NE16']	['EDU']	['EDU_SUB3']	education, youth
S_0380	Share of women among researchers, by discipline	['NE8']	['EDU']	['EDU_SUB3']	education, youth
S_0390	Percentage of students who experienced bullying in the last 12 months, by socio economic and immigration background	['NE17']	['EDU']	['EDU_SUB3']	education, youth
S_0400	Percentage of schools providing life skills-based HIV and sexuality education, by type of school	['NE18']	['EDU']	['EDU_SUB3']	education, youth
S_0410	Life expectancy at birth by sex, over time	['NH5']	['HEA']	['HEA_SUB1']	health, population, demography
S_0420	Life expectancy by sex, over time	['NH5']	['HEA']	['HEA_SUB1']	health, population, demography
S_0430	Distribution of deaths by major categories of causes of death, by sex, region	['NH5']	['HEA']	['HEA_SUB1']	health, population, demography
