narrative_id	title	id	url	tags	description
ND10	Women in politics and decision-making positions in Africa (United Nations Economic Commission for Africa-UNECA)	ac58f456b4514f8db9d096a4710711da	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=ac58f456b4514f8db9d096a4710711da	['ND10', 'ND10']	<div><ul><li><b>Narrative ID</b>: ND10</li><li><b>Narrative Title</b>: Women in politics and decision-making positions in Africa (United Nations Economic Commission for Africa-UNECA)</li><li><b>Theme</b>: Power and decision making</li><li><b>SDG indicators</b>: </li><li><b>Beijing objectives</b>: </li><li><b>Related-narratives</b>: </li><li><b>Labels</b>: </li></ul><b>App ID</b>: [ITEM_ID]<br /></div><div><br /></div>
ND11	Financial decision-making in the household	2bc82de401c344b5a2ac90acc7da6299	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=2bc82de401c344b5a2ac90acc7da6299	['ND11', 'ND11']	<div><ul><li><b>Narrative ID</b>: ND11</li><li><b>Narrative Title</b>: Financial decision-making in the household</li><li><b>Theme</b>: Power and decision making</li><li><b>SDG indicators</b>: </li><li><b>Beijing objectives</b>: </li><li><b>Related-narratives</b>: </li><li><b>Labels</b>: </li></ul><b>App ID</b>: [ITEM_ID]<br /></div><div><br /></div>
ND5	Factors affecting women’s representation in parliament	6f07e55314bc405cb8452043f57f60bf	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=6f07e55314bc405cb8452043f57f60bf	['ND5', 'ND5']	<div><ul><li><b>Narrative ID</b>: ND5</li><li><b>Narrative Title</b>: Factors affecting women’s representation in parliament</li><li><b>Theme</b>: Power and decision making</li><li><b>SDG indicators</b>: </li><li><b>Beijing objectives</b>: </li><li><b>Related-narratives</b>: </li><li><b>Labels</b>: </li></ul><b>App ID</b>: [ITEM_ID]<br /></div><div><br /></div>
NE1	School attendance rate among youth aged 15—24 in Mexico	11a39c01039f4a7b99b3353b03c38cc5	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=11a39c01039f4a7b99b3353b03c38cc5	['NE1', 'NE1']	<div><ul><li><b>Narrative ID</b>: NE1</li><li><b>Narrative Title</b>: School attendance rate among youth aged 15—24 in Mexico</li><li><b>Theme</b>: Education</li><li><b>SDG indicators</b>: </li><li><b>Beijing objectives</b>: </li><li><b>Related-narratives</b>: </li><li><b>Labels</b>: </li></ul><b>App ID</b>: [ITEM_ID]<br /></div><div><br /></div>
NE12	Schools with access to single-sex basic sanitation by education level	6c55c2d7077346ecba2e628e88588de2	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=6c55c2d7077346ecba2e628e88588de2	['NE12', 'NE12']	<div><ul><li><b>Narrative ID</b>: NE12</li><li><b>Narrative Title</b>: Schools with access to single-sex basic sanitation by education level</li><li><b>Theme</b>: Education</li><li><b>SDG indicators</b>: </li><li><b>Beijing objectives</b>: </li><li><b>Related-narratives</b>: </li><li><b>Labels</b>: </li></ul><b>App ID</b>: [ITEM_ID]<br /></div><div><br /></div>
NE17	Students experiencing bullying	3d6d44621adf458f82a76c75ed89dd89	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=3d6d44621adf458f82a76c75ed89dd89	['NE17', 'NE17']	<div><ul><li><b>Narrative ID</b>: NE17</li><li><b>Narrative Title</b>: Students experiencing bullying</li><li><b>Theme</b>: Education</li><li><b>SDG indicators</b>: </li><li><b>Beijing objectives</b>: </li><li><b>Related-narratives</b>: </li><li><b>Labels</b>: </li></ul><b>App ID</b>: [ITEM_ID]<br /></div><div><br /></div>
NE18	Schools and life skills-based HIV and sexuality education	16fd3d35d4124b5891509f9970597e8b	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=16fd3d35d4124b5891509f9970597e8b	['NE18', 'NE18']	<div><ul><li><b>Narrative ID</b>: NE18</li><li><b>Narrative Title</b>: Schools and life skills-based HIV and sexuality education</li><li><b>Theme</b>: Education</li><li><b>SDG indicators</b>: </li><li><b>Beijing objectives</b>: </li><li><b>Related-narratives</b>: </li><li><b>Labels</b>: </li></ul><b>App ID</b>: [ITEM_ID]<br /></div><div><br /></div>
NE19	Lifelong learning	29acc45325554026a7ef54e865544201	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=29acc45325554026a7ef54e865544201	['NE19', 'NE19']	<div><ul><li><b>Narrative ID</b>: NE19</li><li><b>Narrative Title</b>: Lifelong learning</li><li><b>Theme</b>: Education</li><li><b>SDG indicators</b>: </li><li><b>Beijing objectives</b>: </li><li><b>Related-narratives</b>: </li><li><b>Labels</b>: </li></ul><b>App ID</b>: [ITEM_ID]<br /></div><div><br /></div>
NE2	Proportion of children aged 7—14 and children in grades 2 and 3 achieving minimum proficiency in reading and mathematics in Zimbabwe	b5dd1535e68847669b989bb784a4a711	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=b5dd1535e68847669b989bb784a4a711	['NE2', 'NE2']	<div><ul><li><b>Narrative ID</b>: NE2</li><li><b>Narrative Title</b>: Proportion of children aged 7—14 and children in grades 2 and 3 achieving minimum proficiency in reading and mathematics in Zimbabwe</li><li><b>Theme</b>: Education</li><li><b>SDG indicators</b>: </li><li><b>Beijing objectives</b>: </li><li><b>Related-narratives</b>: </li><li><b>Labels</b>: </li></ul><b>App ID</b>: [ITEM_ID]<br /></div><div><br /></div>
NE20	Share of female graduates in science, technology, engineering and mathematics (STEM) at tertiary level (Canada)	151a7495899e42db912137dd038a372a	https://undesa.maps.arcgis.com/apps/MapJournal/index.html?appid=151a7495899e42db912137dd038a372a	['NE20', 'NE20']	<div><ul><li><b>Narrative ID</b>: NE20</li><li><b>Narrative Title</b>: Share of female graduates in science, technology, engineering and mathematics (STEM) at tertiary level (Canada)</li><li><b>Theme</b>: Education</li><li><b>SDG indicators</b>: </li><li><b>Beijing objectives</b>: </li><li><b>Related-narratives</b>: </li><li><b>Labels</b>: </li></ul><b>App ID</b>: [ITEM_ID]<br /></div><div><br /></div>
