SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	COD	COD_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	30	Tuberculosis	1.29	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	100	HIV/AIDS	1.01	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	110	Diarrhoeal diseases	1.37	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	220	Malaria and other vector borne diseases	0.62	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	370	Other infectious diseases	0.35	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	390	Lower respiratory infections	2.79	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	420	Maternal conditions	0.3	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	490	Neonatal conditions	2.61	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	550	Protein-energy malnutrition	0.34	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	620	Mouth and oropharynx cancers	0.33	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	630	Oesophagus cancer	0.43	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	640	Stomach cancer	0.76	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	650	Colon and rectum cancers	0.79	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	660	Liver cancer	0.82	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	670	Pancreas cancer	0.37	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	680	Trachea, bronchus, lung cancers	1.7	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	700	Breast cancer	0.58	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
S_0450	Annual number of deaths, by leading causes of deaths	G	Global	0	Global	nan	nan	1	World	2016	710	Cervix uteri cancer	0.28	NUMBER	Number	6	Millions	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	Data are presented for the 42 leading causes of death in 2016 (where global number of deaths exceeded 280,000). These causes accounted for 89% of all deaths in 2016. Female deaths rate in relation to the combined male and female death rate are shown for cells where the age specific death rate from a cause, in either sex, exceeds 1,500 per 100,000.
