SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Domestic Violence (Prevention and Protection) Act, 2010
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2020	0	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Gender Based Violence and Domestic Violence Act; Criminal Code, Arts. 202(h), 251BA(5) and 222(1)(A)
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Law on Prevention of Domestic Violence
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	28.04940161	53.54193075	112	Belarus	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Law on Protection from Domestic Violence in the Federation of Bosnia and Herzegovina; Law on Protection from Domestic Violence of the Republika Srpska
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	104.922836	12.71163737	116	Cambodia	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Law on Safeguarding and Protecting Against Domestic Volence
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	2.678164227	28.15940032	12	Algeria	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Ley 24-97 sobre Violencia Intrafamiliar y contra la Mujer, Arts. 3 y 8
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	12.7419827	5.692387031	120	Cameroon	2020	0	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	No applicable provisions could be located
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	-101.6575058	57.72360191	124	Canada	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Loi No. 06.032 du 27 DÃ©cembre 2006 portant Protection de la Femme contre la Violence, Arts. 1 et 27
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	-23.63544151	15.07791834	132	Cabo Verde	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Loi NÂ° 14-036/AU, portant prevention et repression des violences faites aux femmes, Art. 1
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	20.93559492	7.003720791	140	Central African Republic	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Domestic Violence Act, 2008
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	80.70489654	7.614693343	144	Sri Lanka	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Domestic Violence (Summary Proceedings) Act, 1995
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	18.66618401	15.36279341	148	Chad	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	No applicable provisions could be located
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	-71.23029019	-35.265288500000004	152	Chile	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Swiss Criminal Code, Arts. 123,126 and 180; Violence Protection Act (GSG, LS 351); Federal Law on the Improvement of the Protection of Victims of Violence
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	104.1403375	32.30955217	156	China	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Ley 20066 de Violencia Intrafamiliar
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	No applicable provisions could be located
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	43.34234565	-11.66121732	174	Comoros	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Ley N. 294; Ley N. 1257, Arts. 2 y 16
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	15.22052612	-0.840544119	178	Congo	2020	0	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	No applicable provisions could be located
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	23.65496507	-2.8771547319999997	180	Democratic Republic of the Congo	2020	0	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Domestic Violence Act, Act 116 of 1998
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	-84.19712782	9.970998683	188	Costa Rica	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Act N. 84/VII/2011 on Gender Based Violence
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	17.95874553	45.45172212	191	Croatia	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	CÃ³digo Penal, Art. 289; Ley Contra la Violencia Reformada
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	33.22285964	35.05659437	196	Cyprus	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Ley 7586 contra la Violencia DomÃ©stica; Ley 8589 de PenalizaciÃ³n de la Violencia contra las Mujeres
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	15.33151382	49.73913871	203	Czechia	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Family Violence (Victim Prevention and Protection) Acts 119 and 212
S_0850	Existence of laws on domestic violence (1 = YES; 0 = NO)	G	Global	4	Country or Area	2.339933594	9.65401646	204	Benin	2020	1	Number	Number	0	Units	nan	nan	Women, Business and the Law 2020, The World Bank	nan	nan	Loi du 28 janvier 2003; Loi du 15 mai 2012
