SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	DISCIPLINE	DISCIPLINE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0380	Share of women among researchers, by discipline	G	Global	0	Global	nan	nan	1	World	2017	F	Female	_T	All fields	29.977809999999998	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0380	Share of women among researchers, by discipline	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2009	F	Female	F2_AGR	Agricultural and veterinary sciences	53.28	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0380	Share of women among researchers, by discipline	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2009	F	Female	F2_BUS_ENT	Business enterprise	43.37945	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0380	Share of women among researchers, by discipline	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2009	F	Female	F2_ENG	Engineering and technology	33.73007	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0380	Share of women among researchers, by discipline	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2009	F	Female	F2_GOV	Government	54.014959999999995	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0380	Share of women among researchers, by discipline	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2009	F	Female	F2_HIG_EDU	Higher education	43.178709999999995	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0380	Share of women among researchers, by discipline	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2009	F	Female	F2_HUM	Humanities and the arts	61.21751	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0380	Share of women among researchers, by discipline	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2009	F	Female	F2_MED	Medical and health sciences	57.8056	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0380	Share of women among researchers, by discipline	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2009	F	Female	F2_NSC	Natural sciences	50.39503	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0380	Share of women among researchers, by discipline	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2009	F	Female	F2_NSC_ENG_MED_AGR	Natural sciences and engineering (sub-total)	44.68647	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
