SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	URBANIZATION	URBANIZATION_DESC	INCOME_WEALTH_QUANTILE	INCOME_WEALTH_QUANTILE_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0480	Proportion of births attended by skilled health personnel	G	Global	0	Global	nan	nan	1	World	2006	F	Female	_T	All age ranges or no breakdown by age	_T	Total	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	64.4	PT	Percent	0	Units	E	Estimated	Joint global database on skilled attendance at birth, 2020, United Nations Children's Fund (UNICEF) and World Health Organisation (WHO).	nan	2000-2006	Figures are based on the latest country-level data available for 2000-2006, 2007-2013 and 2014-2019.
S_0480	Proportion of births attended by skilled health personnel	G	Global	0	Global	nan	nan	1	World	2013	F	Female	_T	All age ranges or no breakdown by age	_T	Total	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	70.8	PT	Percent	0	Units	E	Estimated	Joint global database on skilled attendance at birth, 2020, United Nations Children's Fund (UNICEF) and World Health Organisation (WHO).	nan	2007-2013	Figures are based on the latest country-level data available for 2000-2006, 2007-2013 and 2014-2019.
S_0480	Proportion of births attended by skilled health personnel	G	Global	0	Global	nan	nan	1	World	2019	F	Female	_T	All age ranges or no breakdown by age	_T	Total	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	81.3	PT	Percent	0	Units	E	Estimated	Joint global database on skilled attendance at birth, 2020, United Nations Children's Fund (UNICEF) and World Health Organisation (WHO).	nan	2014-2019	Figures are based on the latest country-level data available for 2000-2006, 2007-2013 and 2014-2019.
S_0480	Proportion of births attended by skilled health personnel	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2006	F	Female	_T	All age ranges or no breakdown by age	_T	Total	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	42.7	PT	Percent	0	Units	E	Estimated	Joint global database on skilled attendance at birth, 2020, United Nations Children's Fund (UNICEF) and World Health Organisation (WHO).	nan	2000-2006	Figures are based on the latest country-level data available for 2000-2006, 2007-2013 and 2014-2019.
S_0480	Proportion of births attended by skilled health personnel	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2013	F	Female	_T	All age ranges or no breakdown by age	_T	Total	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	51.2	PT	Percent	0	Units	E	Estimated	Joint global database on skilled attendance at birth, 2020, United Nations Children's Fund (UNICEF) and World Health Organisation (WHO).	nan	2007-2013	Figures are based on the latest country-level data available for 2000-2006, 2007-2013 and 2014-2019.
S_0480	Proportion of births attended by skilled health personnel	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2019	F	Female	_T	All age ranges or no breakdown by age	_T	Total	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	60.2	PT	Percent	0	Units	E	Estimated	Joint global database on skilled attendance at birth, 2020, United Nations Children's Fund (UNICEF) and World Health Organisation (WHO).	nan	2014-2019	Figures are based on the latest country-level data available for 2000-2006, 2007-2013 and 2014-2019.
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	1998	F	Female	Y15T49	15 to 49 years old	_T	Total	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	44.0	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	1998	F	Female	Y15T20	15 to 20 years old	_T	Total	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	50.2	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	1998	F	Female	Y20T34	20 to 34 years old	_T	Total	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	44.7	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	1998	F	Female	Y35T49	35 to 49 years old	_T	Total	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	38.6	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	1998	F	Female	Y15T49	15 to 49 years old	_T	Total	_T	Total (national average) or no breakdown	ISCED11_2	Lower secondary education	60.6	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	1998	F	Female	Y15T49	15 to 49 years old	_T	Total	_T	Total (national average) or no breakdown	ISCED11A_01	Never attended an education programme / No schooling	25.1	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	1998	F	Female	Y15T49	15 to 49 years old	_T	Total	_T	Total (national average) or no breakdown	ISCED11_1	Primary education	39.9	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	1998	F	Female	Y15T49	15 to 49 years old	_T	Total	_T	Total (national average) or no breakdown	ISCED11_3	Upper secondary education	85.9	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	1998	F	Female	Y15T49	15 to 49 years old	U	Urban	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	76.3	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	1998	F	Female	Y15T49	15 to 49 years old	R	Rural	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	34.1	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2003	F	Female	Y15T49	15 to 49 years old	_T	Total	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	47.0	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2003	F	Female	Y15T20	15 to 20 years old	_T	Total	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	48.4	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2003	F	Female	Y20T34	20 to 34 years old	_T	Total	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	47.8	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2003	F	Female	Y35T49	35 to 49 years old	_T	Total	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	44.0	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2003	F	Female	Y15T49	15 to 49 years old	_T	Total	_T	Total (national average) or no breakdown	ISCED11_2	Lower secondary education	64.3	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2003	F	Female	Y15T49	15 to 49 years old	_T	Total	_T	Total (national average) or no breakdown	ISCED11A_01	Never attended an education programme / No schooling	29.7	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2003	F	Female	Y15T49	15 to 49 years old	_T	Total	_T	Total (national average) or no breakdown	ISCED11_1	Primary education	44.4	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2003	F	Female	Y15T49	15 to 49 years old	_T	Total	_T	Total (national average) or no breakdown	ISCED11_3	Upper secondary education	89.4	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2003	F	Female	Y15T49	15 to 49 years old	_T	Total	Q1	Quintile 1 (poorest)	_T	Total or no breakdown by education level	20.6	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2003	F	Female	Y15T49	15 to 49 years old	_T	Total	Q2	Quintile 2 (second poorest)	_T	Total or no breakdown by education level	31.9	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2003	F	Female	Y15T49	15 to 49 years old	_T	Total	Q3	Quintile 3 (middle)	_T	Total or no breakdown by education level	43.3	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2003	F	Female	Y15T49	15 to 49 years old	_T	Total	Q4	Quintile 4 (second richest)	_T	Total or no breakdown by education level	73.1	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2003	F	Female	Y15T49	15 to 49 years old	_T	Total	Q5	Quintile 5 (richest)	_T	Total or no breakdown by education level	90.4	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
S_0480	Proportion of births attended by skilled health personnel	N	National	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2003	F	Female	Y15T49	15 to 49 years old	U	Urban	_T	Total (national average) or no breakdown	_T	Total or no breakdown by education level	79.7	PT	Percent	0	Units	nan	nan	Ghana Demographic and Health Survey	nan	1998-2014	nan
