SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	VIOLENCE_TYPE	VIOLENCE_TYPE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	0	Global	nan	nan	1	World	2019	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	2.7	PT	Percent	0	Units	E	Estimated	DHS and other national surveys	nan	2012-2019	Based on 45 countries with a population coverage of 44 per cent
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	66.02688198	33.83160199	4	Afghanistan	2015	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	1.1	PT	Percent	0	Units	E	Estimated	DHS	nan	2015	Refers to ever-married women only
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	17.57817062	-12.33724746	24	Angola	2016	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	4.6	PT	Percent	0	Units	E	Estimated	DHS	nan	2015-16	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	50.01064725	40.39229544	31	Azerbaijan	2006	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	0.090439720894152	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2006	Not included in aggregates as falls outside year range
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	2	Sub-region	nan	nan	34	Southern Asia	2019	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	1.5	PT	Percent	0	Units	E	Estimated	DHS and other national surveys	nan	2012-2019	Based on 6 countries with a population coverage of 95 per cent
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	89.17660788	22.86961622	50	Bangladesh	2015	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	3.5	PT	Percent	0	Units	CA	Country Adjusted	Violence against Women Survey 2015	nan	2015	Refers only to experiences of non-partner sexual violence and definition of sexual violence differs from the standard
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	2	Sub-region	nan	nan	62	Central and Southern Asia	2019	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	1.5	PT	Percent	0	Units	E	Estimated	DHS and other national surveys	nan	2012-2019	Based on 7 countries with a population coverage of 92 per cent
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2016	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	1.2	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2015-16	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2017	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	3.5	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2016-17	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2017	M	Male	Y18T29	18 to 29 years old	SEX	Sexual	0.2	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2016-17	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	104.922836	12.71163737	116	Cambodia	2014	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	1.7038185967056267	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2014	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	12.7419827	5.692387031	120	Cameroon	2011	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	15.989721712117833	PT	Percent	0	Units	CA	Country Adjusted	EDS-MICS	nan	2011	Not included in aggregates as falls outside year range
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	12.7419827	5.692387031	120	Cameroon	2011	M	Male	Y18T29	18 to 29 years old	SEX	Sexual	4.132862	PT	Percent	0	Units	CA	Country Adjusted	EDS-MICS	nan	2011	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	18.66618401	15.36279341	148	Chad	2015	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	1.8193084449696493	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2014-15	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2015	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	2.2	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2015	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2015	M	Male	Y18T29	18 to 29 years old	SEX	Sexual	0.3	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2015	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	43.34234565	-11.66121732	174	Comoros	2012	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	3.137080021175973	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2012	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	23.65496507	-2.8771547319999997	180	Democratic Republic of the Congo	2014	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	13.368761463990106	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2014	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	1	Region	nan	nan	199	Least Developed Countries (LDCs)	2019	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	4.8	PT	Percent	0	Units	E	Estimated	DHS and other national surveys	nan	2012-2019	Based on 25 countries with a population coverage of 79 per cent
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2019	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	5.4	PT	Percent	0	Units	E	Estimated	DHS and other national surveys	nan	2012-2019	Based on 24 countries with a population coverage of 79 per cent
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	2.339933594	9.65401646	204	Benin	2018	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	4.5	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2017-18	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	-70.49847576	18.89832088	214	Dominican Republic	2013	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	1.314992748959251	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2013	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	39.63505296	8.631223181000001	231	Ethiopia	2016	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	5.1	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2016	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	11.78727747	-0.60687619	266	Gabon	2012	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	9.277109997630566	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2012	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	-15.39944785	13.45295927	270	Gambia	2013	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	0.3565363800722249	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2013	nan
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	35.25694122	31.94347933	275	State of Palestine	2019	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	1.8	PT	Percent	0	Units	CA	Country Adjusted	Violence Survey of the Palestinian Society	nan	2019	Refers only to unmarried women; definition of sexual violence differs from the standard
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	35.25694122	31.94347933	275	State of Palestine	2019	M	Male	Y18T29	18 to 29 years old	SEX	Sexual	3.5	PT	Percent	0	Units	CA	Country Adjusted	Violence Survey of the Palestinian Society	nan	2019	Refers only to unmarried men; definition of sexual violence differs from the standard
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	-1.205623522	7.964825185	288	Ghana	2008	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	10.307393279114587	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2008	Not included in aggregates as falls outside year range
S_0820	Proportion of young women and men aged 18-29 years who experienced sexual violence by age 18	G	Global	4	Country or Area	-91.23127459999999	15.00273719	320	Guatemala	2015	F	Female	Y18T29	18 to 29 years old	SEX	Sexual	4.0	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2014-15	nan
