SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	OCCUPATION	OCCUPATION_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1030	Average hourly earnings of employees by sex and occupation (local currency)	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	M	Male	_T	Total or no breakdown by Occupation	4.93	CUR_LCU	Local currency	0	Units	C	Country data	ES - Structure of Earnings Survey	nan	nan	Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: BGR - Lev(BGN)
S_1030	Average hourly earnings of employees by sex and occupation (local currency)	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	F	Female	_T	Total or no breakdown by Occupation	4.23	CUR_LCU	Local currency	0	Units	C	Country data	ES - Structure of Earnings Survey	nan	nan	Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: BGR - Lev(BGN)
S_1030	Average hourly earnings of employees by sex and occupation (local currency)	G	Global	4	Country or Area	33.22285964	35.05659437	196	Cyprus	2014	M	Male	_T	Total or no breakdown by Occupation	11.94	CUR_LCU	Local currency	0	Units	C	Country data	ES - Structure of Earnings Survey	nan	nan	Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: CYP - Euro(EUR)
S_1030	Average hourly earnings of employees by sex and occupation (local currency)	G	Global	4	Country or Area	33.22285964	35.05659437	196	Cyprus	2014	F	Female	_T	Total or no breakdown by Occupation	10.25	CUR_LCU	Local currency	0	Units	C	Country data	ES - Structure of Earnings Survey	nan	nan	Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees | Local currency: CYP - Euro(EUR)
S_1030	Average hourly earnings of employees by sex and occupation (local currency)	G	Global	4	Country or Area	15.33151382	49.73913871	203	Czechia	2014	F	Female	_T	Total or no breakdown by Occupation	135.59	CUR_LCU	Local currency	0	Units	C	Country data	ES - Survey on Structure of Earnings	nan	nan	Reference group coverage: Employees | Local currency: CZE - Koruna(CZK) | Working time arrangement coverage: Full-time workers
S_1030	Average hourly earnings of employees by sex and occupation (local currency)	G	Global	4	Country or Area	15.33151382	49.73913871	203	Czechia	2014	M	Male	_T	Total or no breakdown by Occupation	171.13	CUR_LCU	Local currency	0	Units	C	Country data	ES - Survey on Structure of Earnings	nan	nan	Reference group coverage: Employees | Local currency: CZE - Koruna(CZK) | Working time arrangement coverage: Full-time workers
S_1030	Average hourly earnings of employees by sex and occupation (local currency)	G	Global	4	Country or Area	15.33151382	49.73913871	203	Czechia	2015	M	Male	_T	Total or no breakdown by Occupation	176.58	CUR_LCU	Local currency	0	Units	C	Country data	ES - Survey on Structure of Earnings	nan	nan	Reference group coverage: Employees | Local currency: CZE - Koruna(CZK) | Working time arrangement coverage: Full-time workers
S_1030	Average hourly earnings of employees by sex and occupation (local currency)	G	Global	4	Country or Area	15.33151382	49.73913871	203	Czechia	2015	F	Female	_T	Total or no breakdown by Occupation	139.28	CUR_LCU	Local currency	0	Units	C	Country data	ES - Survey on Structure of Earnings	nan	nan	Reference group coverage: Employees | Local currency: CZE - Koruna(CZK) | Working time arrangement coverage: Full-time workers
S_1030	Average hourly earnings of employees by sex and occupation (local currency)	G	Global	4	Country or Area	15.33151382	49.73913871	203	Czechia	2016	F	Female	_T	Total or no breakdown by Occupation	146.1	CUR_LCU	Local currency	0	Units	C	Country data	ES - Survey on Structure of Earnings	nan	nan	Reference group coverage: Employees | Local currency: CZE - Koruna(CZK) | Working time arrangement coverage: Full-time workers
S_1030	Average hourly earnings of employees by sex and occupation (local currency)	G	Global	4	Country or Area	15.33151382	49.73913871	203	Czechia	2016	M	Male	_T	Total or no breakdown by Occupation	183.5	CUR_LCU	Local currency	0	Units	C	Country data	ES - Survey on Structure of Earnings	nan	nan	Reference group coverage: Employees | Local currency: CZE - Koruna(CZK) | Working time arrangement coverage: Full-time workers
S_1030	Average hourly earnings of employees by sex and occupation (local currency)	G	Global	4	Country or Area	15.33151382	49.73913871	203	Czechia	2017	M	Male	_T	Total or no breakdown by Occupation	196.9	CUR_LCU	Local currency	0	Units	C	Country data	ES - Survey on Structure of Earnings	nan	nan	Reference group coverage: Employees | Local currency: CZE - Koruna(CZK) | Working time arrangement coverage: Full-time workers
S_1030	Average hourly earnings of employees by sex and occupation (local currency)	G	Global	4	Country or Area	15.33151382	49.73913871	203	Czechia	2017	F	Female	_T	Total or no breakdown by Occupation	157.5	CUR_LCU	Local currency	0	Units	C	Country data	ES - Survey on Structure of Earnings	nan	nan	Reference group coverage: Employees | Local currency: CZE - Koruna(CZK) | Working time arrangement coverage: Full-time workers
