SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0870	Existence of laws on sexual harassment (1 = YES; 0 = NO)	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2017	1.0	Number	Number	0	Units	nan	nan	Minimum Set of Gender Indicators	nan	nan	nan
S_0870	Existence of laws on sexual harassment (1 = YES; 0 = NO)	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2017	1.0	Number	Number	0	Units	nan	nan	Minimum Set of Gender Indicators	nan	nan	Data are based on UN Women review of laws including penal codes and labour laws as well as specific domestic violence and sexual offences laws. Canada does not have an offence specific criminal law for domestic violence however acts of family violence are covered under existing legislation according to the appropriate criminal offence (eg homicide assault sexual assault).
S_0870	Existence of laws on sexual harassment (1 = YES; 0 = NO)	G	Global	4	Country or Area	28.04940161	53.54193075	112	Belarus	2017	0.0	Number	Number	0	Units	nan	nan	Minimum Set of Gender Indicators	nan	nan	Data are based on documents produced by Member States and the UN system for the Universal Periodic Review (UPR). The UPR is a unique process that involves a review of the human rights records of all 192 UN Member States once every four years. The UPR is a State-driven process under the auspices of the Human Rights Council which provides the opportunity for each State to declare what actions they have taken to improve the human rights situations in their countries and to fulfil their human rights obligations. All documents are available at: http://www.ohchr.org/en/hrbodies/upr/pages/uprmain.aspx
S_0870	Existence of laws on sexual harassment (1 = YES; 0 = NO)	G	Global	4	Country or Area	2.678164227	28.15940032	12	Algeria	2017	1.0	Number	Number	0	Units	nan	nan	Minimum Set of Gender Indicators	nan	nan	nan
S_0870	Existence of laws on sexual harassment (1 = YES; 0 = NO)	G	Global	4	Country or Area	12.7419827	5.692387031	120	Cameroon	2017	0.0	Number	Number	0	Units	nan	nan	Minimum Set of Gender Indicators	nan	nan	Information from the UN Secretary-General's database indicates that draft legislation is under consideration.
S_0870	Existence of laws on sexual harassment (1 = YES; 0 = NO)	G	Global	4	Country or Area	-101.6575058	57.72360191	124	Canada	2017	1.0	Number	Number	0	Units	nan	nan	Minimum Set of Gender Indicators	nan	nan	nan
S_0870	Existence of laws on sexual harassment (1 = YES; 0 = NO)	G	Global	4	Country or Area	-23.63544151	15.07791834	132	Cabo Verde	2017	1.0	Number	Number	0	Units	nan	nan	Minimum Set of Gender Indicators	nan	nan	Information provided by UN Women regional and country offices.
S_0870	Existence of laws on sexual harassment (1 = YES; 0 = NO)	G	Global	4	Country or Area	20.93559492	7.003720791	140	Central African Republic	2017	1.0	Number	Number	0	Units	nan	nan	Minimum Set of Gender Indicators	nan	nan	nan
S_0870	Existence of laws on sexual harassment (1 = YES; 0 = NO)	G	Global	4	Country or Area	80.70489654	7.614693343	144	Sri Lanka	2017	1.0	Number	Number	0	Units	nan	nan	Minimum Set of Gender Indicators	nan	nan	nan
S_0870	Existence of laws on sexual harassment (1 = YES; 0 = NO)	G	Global	4	Country or Area	18.66618401	15.36279341	148	Chad	2017	0.0	Number	Number	0	Units	nan	nan	Minimum Set of Gender Indicators	nan	nan	ACGSD 2010.
