SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0260	Schools with access to access to single-sex basic sanitation, by education level (%)	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2017	ISCED11_1	Primary education	66.25261	PT	Percent	0	Units	C	Country Data	UNESCO/UIS	nan	nan	nan
S_0260	Schools with access to access to single-sex basic sanitation, by education level (%)	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2017	ISCED11_3	Upper secondary education	71.75608000000003	PT	Percent	0	Units	C	Country Data	UNESCO/UIS	nan	nan	nan
S_0260	Schools with access to access to single-sex basic sanitation, by education level (%)	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2018	ISCED11_2	Lower secondary education	67.28005	PT	Percent	0	Units	C	Country Data	UNESCO/UIS	nan	nan	nan
S_0260	Schools with access to access to single-sex basic sanitation, by education level (%)	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2018	ISCED11_1	Primary education	64.41704	PT	Percent	0	Units	C	Country Data	UNESCO/UIS	nan	nan	nan
S_0260	Schools with access to access to single-sex basic sanitation, by education level (%)	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2018	ISCED11_3	Upper secondary education	74.58874	PT	Percent	0	Units	C	Country Data	UNESCO/UIS	nan	nan	nan
S_0260	Schools with access to access to single-sex basic sanitation, by education level (%)	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2016	ISCED11_2	Lower secondary education	81.70638000000002	PT	Percent	0	Units	C	Country Data	UNESCO/UIS	nan	nan	nan
S_0260	Schools with access to access to single-sex basic sanitation, by education level (%)	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2016	ISCED11_1	Primary education	34.92845	PT	Percent	0	Units	C	Country Data	UNESCO/UIS	nan	nan	nan
S_0260	Schools with access to access to single-sex basic sanitation, by education level (%)	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2016	ISCED11_3	Upper secondary education	100.0	PT	Percent	0	Units	C	Country Data	UNESCO/UIS	nan	nan	nan
S_0260	Schools with access to access to single-sex basic sanitation, by education level (%)	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2017	ISCED11_2	Lower secondary education	82.46703000000002	PT	Percent	0	Units	C	Country Data	UNESCO/UIS	nan	nan	nan
S_0260	Schools with access to access to single-sex basic sanitation, by education level (%)	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2017	ISCED11_1	Primary education	35.45476	PT	Percent	0	Units	C	Country Data	UNESCO/UIS	nan	nan	nan
