SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	COD	COD_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0470	Cause-specific mortality rate (age-standardized), due to self-harm	G	Global	0	Global	nan	nan	1	World	2000	F	Female	_T	All age ranges or no breakdown by age	1610	Self-harm	9.7	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0470	Cause-specific mortality rate (age-standardized), due to self-harm	G	Global	0	Global	nan	nan	1	World	2000	M	Male	_T	All age ranges or no breakdown by age	1610	Self-harm	16.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0470	Cause-specific mortality rate (age-standardized), due to self-harm	G	Global	0	Global	nan	nan	1	World	2005	F	Female	_T	All age ranges or no breakdown by age	1610	Self-harm	9.3	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0470	Cause-specific mortality rate (age-standardized), due to self-harm	G	Global	0	Global	nan	nan	1	World	2005	M	Male	_T	All age ranges or no breakdown by age	1610	Self-harm	15.3	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0470	Cause-specific mortality rate (age-standardized), due to self-harm	G	Global	0	Global	nan	nan	1	World	2010	F	Female	_T	All age ranges or no breakdown by age	1610	Self-harm	8.6	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0470	Cause-specific mortality rate (age-standardized), due to self-harm	G	Global	0	Global	nan	nan	1	World	2010	M	Male	_T	All age ranges or no breakdown by age	1610	Self-harm	14.3	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0470	Cause-specific mortality rate (age-standardized), due to self-harm	G	Global	0	Global	nan	nan	1	World	2015	F	Female	_T	All age ranges or no breakdown by age	1610	Self-harm	7.8	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0470	Cause-specific mortality rate (age-standardized), due to self-harm	G	Global	0	Global	nan	nan	1	World	2015	M	Male	_T	All age ranges or no breakdown by age	1610	Self-harm	13.6	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0470	Cause-specific mortality rate (age-standardized), due to self-harm	G	Global	0	Global	nan	nan	1	World	2016	F	Female	_T	All age ranges or no breakdown by age	1610	Self-harm	16.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0470	Cause-specific mortality rate (age-standardized), due to self-harm	G	Global	0	Global	nan	nan	1	World	2016	M	Male	_T	All age ranges or no breakdown by age	1610	Self-harm	13.5	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
