SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	COD	COD_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y50T54	50 to 54 years old	0	Other diseases	221.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y55T59	55 to 59 years old	0	Other diseases	310.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y60T64	60 to 64 years old	0	Other diseases	432.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y65T69	65 to 69 years old	0	Other diseases	622.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y70T74	70 to 74 years old	0	Other diseases	917.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y75T79	75 to 79 years old	0	Other diseases	1339.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y80T84	80 to 84 years old	0	Other diseases	1936.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y85T100	85 to 100 years old	0	Other diseases	3404.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y50T54	50 to 54 years old	390	Lower respiratory infections	11.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y55T59	55 to 59 years old	390	Lower respiratory infections	18.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y60T64	60 to 64 years old	390	Lower respiratory infections	32.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y65T69	65 to 69 years old	390	Lower respiratory infections	64.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y70T74	70 to 74 years old	390	Lower respiratory infections	134.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y75T79	75 to 79 years old	390	Lower respiratory infections	193.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y80T84	80 to 84 years old	390	Lower respiratory infections	379.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y85T100	85 to 100 years old	390	Lower respiratory infections	862.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y50T54	50 to 54 years old	680	Trachea, bronchus, lung cancers	14.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y55T59	55 to 59 years old	680	Trachea, bronchus, lung cancers	25.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y60T64	60 to 64 years old	680	Trachea, bronchus, lung cancers	40.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y65T69	65 to 69 years old	680	Trachea, bronchus, lung cancers	58.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y70T74	70 to 74 years old	680	Trachea, bronchus, lung cancers	83.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y75T79	75 to 79 years old	680	Trachea, bronchus, lung cancers	131.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y80T84	80 to 84 years old	680	Trachea, bronchus, lung cancers	154.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y85T100	85 to 100 years old	680	Trachea, bronchus, lung cancers	188.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y50T54	50 to 54 years old	800	Diabetes mellitus	18.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
S_0460	Cause-specific mortality rate (age-standardized), by leading causes of death	G	Global	0	Global	nan	nan	1	World	2016	F	Female	Y55T59	55 to 59 years old	800	Diabetes mellitus	32.0	PER_100000_POP	Per 100,000 population	0	Units	E	Estimated	Global Health Estimates 2016, World Health Organisation (WHO).	nan	nan	nan
