SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	HOUSEHOLD_TYPE	HOUSEHOLD_TYPE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	0	Global	nan	nan	1	World	2020	F	Female	Y25T54	25 to 54 years old	5	Extended family	38.1	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2336	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	0	Global	nan	nan	1	World	2020	M	Male	Y25T54	25 to 54 years old	5	Extended family	93.2	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2337	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	0	Global	nan	nan	1	World	2020	F	Female	Y25T54	25 to 54 years old	3	Couples with children	46.8	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2336	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	0	Global	nan	nan	1	World	2020	M	Male	Y25T54	25 to 54 years old	3	Couples with children	97.3	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2337	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	F	Female	Y25T54	25 to 54 years old	5	Extended family	74.7	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2348	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	M	Male	Y25T54	25 to 54 years old	5	Extended family	86.7	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2349	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	F	Female	Y25T54	25 to 54 years old	3	Couples with children	80.0	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2348	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	M	Male	Y25T54	25 to 54 years old	3	Couples with children	96.4	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2349	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	35	South-Eastern Asia	2020	F	Female	Y25T54	25 to 54 years old	5	Extended family	65.1	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2350	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	35	South-Eastern Asia	2020	M	Male	Y25T54	25 to 54 years old	5	Extended family	93.1	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2351	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	35	South-Eastern Asia	2020	F	Female	Y25T54	25 to 54 years old	3	Couples with children	48.1	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2350	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	35	South-Eastern Asia	2020	M	Male	Y25T54	25 to 54 years old	3	Couples with children	97.1	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2351	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2020	F	Female	Y25T54	25 to 54 years old	5	Extended family	56.8	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2344	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2020	M	Male	Y25T54	25 to 54 years old	5	Extended family	93.3	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2345	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2020	F	Female	Y25T54	25 to 54 years old	3	Couples with children	46.7	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2344	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2020	M	Male	Y25T54	25 to 54 years old	3	Couples with children	97.6	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2345	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	1	Region	nan	nan	513	Europe and Northern America	2020	F	Female	Y25T54	25 to 54 years old	5	Extended family	59.5	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2346	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	1	Region	nan	nan	513	Europe and Northern America	2020	M	Male	Y25T54	25 to 54 years old	5	Extended family	90.0	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2347	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0920	Labour force participation rate among people aged 25–54 years by sex, region with 2 children under age six in couple and extended family households	G	Global	1	Region	nan	nan	513	Europe and Northern America	2020	F	Female	Y25T54	25 to 54 years old	3	Couples with children	62.5	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2346	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
