SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	VIOLENCE_TYPE	VIOLENCE_TYPE_DESC	PERPETRATOR	PERPETRATOR_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0810	Proportion of women aged 20-29 who have ever experienced sexual violence by a non-partner since age of 15	G	Global	4	Country or Area	17.57817062	-12.33724746	24	Angola	2016	F	Female	Y20T29	20 to 29 years old	SEX	Sexual	NOT_INT_PARTNER	Persons other than an intimate partner	2.3	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2015-2016	nan
S_0810	Proportion of women aged 20-29 who have ever experienced sexual violence by a non-partner since age of 15	G	Global	4	Country or Area	50.01064725	40.39229544	31	Azerbaijan	2006	F	Female	Y20T29	20 to 29 years old	SEX	Sexual	NOT_INT_PARTNER	Persons other than an intimate partner	0.3	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2006	Forced to have sexual intercourse against her will
S_0810	Proportion of women aged 20-29 who have ever experienced sexual violence by a non-partner since age of 15	G	Global	4	Country or Area	44.93839317	40.29499741	51	Armenia	2016	F	Female	Y20T29	20 to 29 years old	SEX	Sexual	NOT_INT_PARTNER	Persons other than an intimate partner	0.1	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2015-2016	nan
S_0810	Proportion of women aged 20-29 who have ever experienced sexual violence by a non-partner since age of 15	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2016	F	Female	Y20T29	20 to 29 years old	SEX	Sexual	NOT_INT_PARTNER	Persons other than an intimate partner	0.1	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2015-2016	nan
S_0810	Proportion of women aged 20-29 who have ever experienced sexual violence by a non-partner since age of 15	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2017	F	Female	Y20T29	20 to 29 years old	SEX	Sexual	NOT_INT_PARTNER	Persons other than an intimate partner	0.8	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2016-2017	nan
S_0810	Proportion of women aged 20-29 who have ever experienced sexual violence by a non-partner since age of 15	G	Global	4	Country or Area	104.922836	12.71163737	116	Cambodia	2014	F	Female	Y20T29	20 to 29 years old	SEX	Sexual	NOT_INT_PARTNER	Persons other than an intimate partner	0.1	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2014	nan
S_0810	Proportion of women aged 20-29 who have ever experienced sexual violence by a non-partner since age of 15	G	Global	4	Country or Area	12.7419827	5.692387031	120	Cameroon	2011	F	Female	Y20T29	20 to 29 years old	SEX	Sexual	NOT_INT_PARTNER	Persons other than an intimate partner	2.7	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2011	Forced to have sexual intercourse against her will
S_0810	Proportion of women aged 20-29 who have ever experienced sexual violence by a non-partner since age of 15	G	Global	4	Country or Area	18.66618401	15.36279341	148	Chad	2015	F	Female	Y20T29	20 to 29 years old	SEX	Sexual	NOT_INT_PARTNER	Persons other than an intimate partner	0.4	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2014-2015	nan
S_0810	Proportion of women aged 20-29 who have ever experienced sexual violence by a non-partner since age of 15	G	Global	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2015	F	Female	Y20T29	20 to 29 years old	SEX	Sexual	NOT_INT_PARTNER	Persons other than an intimate partner	4.8	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2015	Includes physically forced sexual intercourse and other sexual acts
S_0810	Proportion of women aged 20-29 who have ever experienced sexual violence by a non-partner since age of 15	G	Global	4	Country or Area	43.34234565	-11.66121732	174	Comoros	2012	F	Female	Y20T29	20 to 29 years old	SEX	Sexual	NOT_INT_PARTNER	Persons other than an intimate partner	0.5	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2012	nan
S_0810	Proportion of women aged 20-29 who have ever experienced sexual violence by a non-partner since age of 15	G	Global	4	Country or Area	23.65496507	-2.8771547319999997	180	Democratic Republic of the Congo	2014	F	Female	Y20T29	20 to 29 years old	SEX	Sexual	NOT_INT_PARTNER	Persons other than an intimate partner	2.2	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2013-2014	nan
S_0810	Proportion of women aged 20-29 who have ever experienced sexual violence by a non-partner since age of 15	G	Global	4	Country or Area	2.339933594	9.65401646	204	Benin	2018	F	Female	Y20T29	20 to 29 years old	SEX	Sexual	NOT_INT_PARTNER	Persons other than an intimate partner	0.8	PT	Percent	0	Units	CA	Country Adjusted	DHS	nan	2017-2018	nan
