SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	HOUSEHOLD_TYPE	HOUSEHOLD_TYPE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0890	Labour force participation rate among people aged 15 years and older, by sex and age group	G	Global	0	Global	nan	nan	1	World	1995	M	Male	Y_GE15	15 years old and over	_T	Total	79.428	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2020	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0890	Labour force participation rate among people aged 15 years and older, by sex and age group	G	Global	0	Global	nan	nan	1	World	1995	F	Female	Y_GE15	15 years old and over	_T	Total	51.173	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2021	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0890	Labour force participation rate among people aged 15 years and older, by sex and age group	G	Global	0	Global	nan	nan	1	World	1996	M	Male	Y_GE15	15 years old and over	_T	Total	79.214	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2022	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0890	Labour force participation rate among people aged 15 years and older, by sex and age group	G	Global	0	Global	nan	nan	1	World	1996	F	Female	Y_GE15	15 years old and over	_T	Total	51.096000000000004	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2023	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0890	Labour force participation rate among people aged 15 years and older, by sex and age group	G	Global	0	Global	nan	nan	1	World	1997	M	Male	Y_GE15	15 years old and over	_T	Total	79.064	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2024	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0890	Labour force participation rate among people aged 15 years and older, by sex and age group	G	Global	0	Global	nan	nan	1	World	1997	F	Female	Y_GE15	15 years old and over	_T	Total	51.096000000000004	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2025	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0890	Labour force participation rate among people aged 15 years and older, by sex and age group	G	Global	0	Global	nan	nan	1	World	1998	M	Male	Y_GE15	15 years old and over	_T	Total	78.882	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2026	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0890	Labour force participation rate among people aged 15 years and older, by sex and age group	G	Global	0	Global	nan	nan	1	World	1998	F	Female	Y_GE15	15 years old and over	_T	Total	51.01	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2027	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0890	Labour force participation rate among people aged 15 years and older, by sex and age group	G	Global	0	Global	nan	nan	1	World	1999	M	Male	Y_GE15	15 years old and over	_T	Total	78.795	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2028	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0890	Labour force participation rate among people aged 15 years and older, by sex and age group	G	Global	0	Global	nan	nan	1	World	1999	F	Female	Y_GE15	15 years old and over	_T	Total	51.086000000000006	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2029	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0890	Labour force participation rate among people aged 15 years and older, by sex and age group	G	Global	0	Global	nan	nan	1	World	2000	M	Male	Y_GE15	15 years old and over	_T	Total	78.541	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2030	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0890	Labour force participation rate among people aged 15 years and older, by sex and age group	G	Global	0	Global	nan	nan	1	World	2000	F	Female	Y_GE15	15 years old and over	_T	Total	51.01	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2031	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0890	Labour force participation rate among people aged 15 years and older, by sex and age group	G	Global	0	Global	nan	nan	1	World	2001	M	Male	Y_GE15	15 years old and over	_T	Total	78.19800000000001	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2032	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
