SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	DISCIPLINE	DISCIPLINE_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0360	Share of female graduates at tertiary level, by area of study	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2010	F	Female	F1_AGR	Agriculture, Forestry, Fisheries and Veterinary	AGG_5T8	Tertiary education	48.034929999999996	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0360	Share of female graduates at tertiary level, by area of study	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2010	F	Female	F1_ART	Arts and Humanities	AGG_5T8	Tertiary education	69.73301	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0360	Share of female graduates at tertiary level, by area of study	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2010	F	Female	F1_BUS	Business, Administration and Law	AGG_5T8	Tertiary education	67.25469	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0360	Share of female graduates at tertiary level, by area of study	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2010	F	Female	F1_EDU	Education	AGG_5T8	Tertiary education	74.15561	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0360	Share of female graduates at tertiary level, by area of study	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2010	F	Female	F1_ENG	Engineering, Manufacturing and Construction	AGG_5T8	Tertiary education	36.451840000000004	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0360	Share of female graduates at tertiary level, by area of study	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2010	F	Female	F1_HEA	Health and Welfare	AGG_5T8	Tertiary education	71.19765	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0360	Share of female graduates at tertiary level, by area of study	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2010	F	Female	F1_ICT	Information and Communication Technologies	AGG_5T8	Tertiary education	40.66952	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0360	Share of female graduates at tertiary level, by area of study	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2010	F	Female	F1_NSC	Natural Sciences, Mathematics and Statistics	AGG_5T8	Tertiary education	67.27656999999999	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0360	Share of female graduates at tertiary level, by area of study	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2010	F	Female	NOT_STEM	Fields other than Science, Technology, Engineering and Mathematics	AGG_5T8	Tertiary education	65.92565	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0360	Share of female graduates at tertiary level, by area of study	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2010	F	Female	STEM	Science, Technology, Engineering and Mathematics	AGG_5T8	Tertiary education	40.39315	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
