SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	HOUSEHOLD_TYPE	HOUSEHOLD_TYPE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0200	Proportion of couples’ households with and without children	G	Global	4	Country or Area	28.04940161	53.54193075	112	Belarus	2009	_T	Both sexes or no breakdown by sex	3	Couples with children	27.1	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0200	Proportion of couples’ households with and without children	G	Global	4	Country or Area	28.04940161	53.54193075	112	Belarus	2009	_T	Both sexes or no breakdown by sex	2	Couples without children	17.56	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0200	Proportion of couples’ households with and without children	G	Global	4	Country or Area	-101.6575058	57.72360191	124	Canada	2011	_T	Both sexes or no breakdown by sex	3	Couples with children	27.61	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0200	Proportion of couples’ households with and without children	G	Global	4	Country or Area	-101.6575058	57.72360191	124	Canada	2011	_T	Both sexes or no breakdown by sex	2	Couples without children	25.58	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0200	Proportion of couples’ households with and without children	G	Global	4	Country or Area	22.58307827	39.47301873	300	Greece	2011	_T	Both sexes or no breakdown by sex	3	Couples with children	33.72	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0200	Proportion of couples’ households with and without children	G	Global	4	Country or Area	22.58307827	39.47301873	300	Greece	2011	_T	Both sexes or no breakdown by sex	2	Couples without children	20.75	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0200	Proportion of couples’ households with and without children	G	Global	4	Country or Area	19.41221519	47.1651448	348	Hungary	2011	_T	Both sexes or no breakdown by sex	3	Couples with children	26.51	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0200	Proportion of couples’ households with and without children	G	Global	4	Country or Area	19.41221519	47.1651448	348	Hungary	2011	_T	Both sexes or no breakdown by sex	2	Couples without children	19.2	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0200	Proportion of couples’ households with and without children	G	Global	4	Country or Area	-7.121425272000001	53.25274054	372	Ireland	2011	_T	Both sexes or no breakdown by sex	3	Couples with children	34.91	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0200	Proportion of couples’ households with and without children	G	Global	4	Country or Area	-7.121425272000001	53.25274054	372	Ireland	2011	_T	Both sexes or no breakdown by sex	2	Couples without children	18.54	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
