SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	VIOLENCE_TYPE	VIOLENCE_TYPE_DESC	PERPETRATOR	PERPETRATOR_DESC	OBS_VALUE	LOWER_BOUND	UPPER_BOUND	STD_ERROR	VAR_COEF	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0790	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in the previous 12 months, by type of violence, by age (%)	G	Global	4	Country or Area	66.02688198	33.83160199	4	Afghanistan	2015	F	Female	Y15T19	15 to 19 years old	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	28.7	nan	nan	nan	nan	PT	Percent	0	Units	C	Country data	DHS	nan	2015	nan
S_0790	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in the previous 12 months, by type of violence, by age (%)	G	Global	4	Country or Area	66.02688198	33.83160199	4	Afghanistan	2015	F	Female	Y15T49	15 to 49 years old	PHY	Physical	INT_PARTNER	Current or former intimate partner	45.8	nan	nan	nan	nan	PT	Percent	0	Units	nan	nan	DHS	http://www.statcompiler.com	nan	nan
S_0790	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in the previous 12 months, by type of violence, by age (%)	G	Global	4	Country or Area	66.02688198	33.83160199	4	Afghanistan	2015	F	Female	Y15T49	15 to 49 years old	SEX	Sexual	INT_PARTNER	Current or former intimate partner	6.1	nan	nan	nan	nan	PT	Percent	0	Units	nan	nan	DHS	http://www.statcompiler.com	nan	nan
S_0790	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in the previous 12 months, by type of violence, by age (%)	G	Global	4	Country or Area	66.02688198	33.83160199	4	Afghanistan	2015	F	Female	Y20T24	20 to 24 years old	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	41.1	nan	nan	nan	nan	PT	Percent	0	Units	C	Country data	DHS	nan	2015	nan
S_0790	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in the previous 12 months, by type of violence, by age (%)	G	Global	4	Country or Area	66.02688198	33.83160199	4	Afghanistan	2015	F	Female	Y25T29	25 to 29 years old	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	48.6	nan	nan	nan	nan	PT	Percent	0	Units	C	Country data	DHS	nan	2015	nan
S_0790	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in the previous 12 months, by type of violence, by age (%)	G	Global	4	Country or Area	66.02688198	33.83160199	4	Afghanistan	2015	F	Female	Y30T34	30 to 34 years old	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	49.3	nan	nan	nan	nan	PT	Percent	0	Units	C	Country data	DHS	nan	2015	nan
S_0790	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in the previous 12 months, by type of violence, by age (%)	G	Global	4	Country or Area	66.02688198	33.83160199	4	Afghanistan	2015	F	Female	Y35T39	35 to 39 years old	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	49.1	nan	nan	nan	nan	PT	Percent	0	Units	C	Country data	DHS	nan	2015	nan
S_0790	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in the previous 12 months, by type of violence, by age (%)	G	Global	4	Country or Area	66.02688198	33.83160199	4	Afghanistan	2015	F	Female	Y40T44	40 to 44 years old	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	45.2	nan	nan	nan	nan	PT	Percent	0	Units	C	Country data	DHS	nan	2015	nan
S_0790	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in the previous 12 months, by type of violence, by age (%)	G	Global	4	Country or Area	66.02688198	33.83160199	4	Afghanistan	2015	F	Female	Y45T49	45 to 49 years old	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	51.9	nan	nan	nan	nan	PT	Percent	0	Units	C	Country data	DHS	nan	2015	nan
S_0790	Proportion of ever-partnered women and girls subjected to violence by a current or former intimate partner in the previous 12 months, by type of violence, by age (%)	G	Global	4	Country or Area	17.57817062	-12.33724746	24	Angola	2016	F	Female	Y15T19	15 to 19 years old	PHY+SEX	Physical and sexual	INT_PARTNER	Current or former intimate partner	24.3	nan	nan	nan	nan	PT	Percent	0	Units	C	Country data	DHS	nan	2015-16	nan
