SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	ACTIVITY	ACTIVITY_DESC	SEX	SEX_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	M	Male	ISCED11_1	Primary education	24.6	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	26.8	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	F	Female	ISCED11_1	Primary education	22.5	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	F	Female	ISCED11A_0_G23	Some primary education, grades 2 or 3	5.1	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	M	Male	ISCED11A_0_G23	Some primary education, grades 2 or 3	4.4	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	ISCED11A_0_G23	Some primary education, grades 2 or 3	5.5	PT	Percent	0	Units	C	Country data	nan	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	M	Male	ISCED11_1	Primary education	18.4	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	With Functional Difficulties
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	19.4	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	With Functional Difficulties
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	F	Female	ISCED11_1	Primary education	17.7	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	With Functional Difficulties
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	F	Female	ISCED11_1	Primary education	25.4	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	Without Functional Difficulties
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	M	Male	ISCED11_1	Primary education	27.6	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	Without Functional Difficulties
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	23.1	PT	Percent	0	Units	C	Country data	nan	nan	nan	Without Functional Difficulties
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	5	Sub-national	nan	nan	ZW_01	Bulawayo	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	37.0	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	5	Sub-national	nan	nan	ZW_02	Harare	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	43.9	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	5	Sub-national	nan	nan	ZW_03	Manicaland	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	21.7	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	5	Sub-national	nan	nan	ZW_04	Mashonaland Central	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	15.6	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	5	Sub-national	nan	nan	ZW_05	Mashonaland East	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	22.2	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	5	Sub-national	nan	nan	ZW_06	Mashonaland West	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	23.3	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	5	Sub-national	nan	nan	ZW_07	Masvingo	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	21.1	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	5	Sub-national	nan	nan	ZW_08	Matabeleland North	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	23.6	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	5	Sub-national	nan	nan	ZW_09	Matabeleland South	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	20.5	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0300	Minimum proficiency in numeracy in Zimbabwe, by education level and sex (%)	G	Global	5	Sub-national	nan	nan	ZW_10	Midlands	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	25.0	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
