SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	ACTIVITY	ACTIVITY_DESC	SEX	SEX_DESC	AGE	AGE_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1060	Proportion of informal employment in total employment, by age groups and sex	G	Global	0	Global	nan	nan	1	World	2016	_T	No breakdown	F	Female	Y15T24	15 to 24 years old	_T	Total or no breakdown by education level	72.8	PT	Percent	0	Units	nan	nan	ILO, Women and Men in the Informal Economy: A Statistical Picture, third edition, Geneva, 2018	https://www.ilo.org/global/publications/books/WCMS_626831/lang--en/index.html	nan	nan
S_1060	Proportion of informal employment in total employment, by age groups and sex	G	Global	0	Global	nan	nan	1	World	2016	_T	No breakdown	F	Female	Y25T29	25 to 29 years old	_T	Total or no breakdown by education level	56.3	PT	Percent	0	Units	nan	nan	ILO, Women and Men in the Informal Economy: A Statistical Picture, third edition, Geneva, 2018	https://www.ilo.org/global/publications/books/WCMS_626831/lang--en/index.html	nan	nan
S_1060	Proportion of informal employment in total employment, by age groups and sex	G	Global	0	Global	nan	nan	1	World	2016	_T	No breakdown	F	Female	Y30T34	30 to 34 years old	_T	Total or no breakdown by education level	54.3	PT	Percent	0	Units	nan	nan	ILO, Women and Men in the Informal Economy: A Statistical Picture, third edition, Geneva, 2018	https://www.ilo.org/global/publications/books/WCMS_626831/lang--en/index.html	nan	nan
S_1060	Proportion of informal employment in total employment, by age groups and sex	G	Global	0	Global	nan	nan	1	World	2016	_T	No breakdown	F	Female	Y35T54	35 to 54 years old	_T	Total or no breakdown by education level	53.1	PT	Percent	0	Units	nan	nan	ILO, Women and Men in the Informal Economy: A Statistical Picture, third edition, Geneva, 2018	https://www.ilo.org/global/publications/books/WCMS_626831/lang--en/index.html	nan	nan
S_1060	Proportion of informal employment in total employment, by age groups and sex	G	Global	0	Global	nan	nan	1	World	2016	_T	No breakdown	F	Female	Y55T64	55 to 64 years old	_T	Total or no breakdown by education level	58.6	PT	Percent	0	Units	nan	nan	ILO, Women and Men in the Informal Economy: A Statistical Picture, third edition, Geneva, 2018	https://www.ilo.org/global/publications/books/WCMS_626831/lang--en/index.html	nan	nan
S_1060	Proportion of informal employment in total employment, by age groups and sex	G	Global	0	Global	nan	nan	1	World	2016	_T	No breakdown	F	Female	Y_GE65	65 years old and over	_T	Total or no breakdown by education level	74.8	PT	Percent	0	Units	nan	nan	ILO, Women and Men in the Informal Economy: A Statistical Picture, third edition, Geneva, 2018	https://www.ilo.org/global/publications/books/WCMS_626831/lang--en/index.html	nan	nan
S_1060	Proportion of informal employment in total employment, by age groups and sex	G	Global	0	Global	nan	nan	1	World	2016	_T	No breakdown	M	Male	Y15T24	15 to 24 years old	_T	Total or no breakdown by education level	79.0	PT	Percent	0	Units	nan	nan	ILO, Women and Men in the Informal Economy: A Statistical Picture, third edition, Geneva, 2018	https://www.ilo.org/global/publications/books/WCMS_626831/lang--en/index.html	nan	nan
S_1060	Proportion of informal employment in total employment, by age groups and sex	G	Global	0	Global	nan	nan	1	World	2016	_T	No breakdown	M	Male	Y25T29	25 to 29 years old	_T	Total or no breakdown by education level	66.5	PT	Percent	0	Units	nan	nan	ILO, Women and Men in the Informal Economy: A Statistical Picture, third edition, Geneva, 2018	https://www.ilo.org/global/publications/books/WCMS_626831/lang--en/index.html	nan	nan
S_1060	Proportion of informal employment in total employment, by age groups and sex	G	Global	0	Global	nan	nan	1	World	2016	_T	No breakdown	M	Male	Y30T34	30 to 34 years old	_T	Total or no breakdown by education level	61.4	PT	Percent	0	Units	nan	nan	ILO, Women and Men in the Informal Economy: A Statistical Picture, third edition, Geneva, 2018	https://www.ilo.org/global/publications/books/WCMS_626831/lang--en/index.html	nan	nan
S_1060	Proportion of informal employment in total employment, by age groups and sex	G	Global	0	Global	nan	nan	1	World	2016	_T	No breakdown	M	Male	Y35T54	35 to 54 years old	_T	Total or no breakdown by education level	57.9	PT	Percent	0	Units	nan	nan	ILO, Women and Men in the Informal Economy: A Statistical Picture, third edition, Geneva, 2018	https://www.ilo.org/global/publications/books/WCMS_626831/lang--en/index.html	nan	nan
S_1060	Proportion of informal employment in total employment, by age groups and sex	G	Global	0	Global	nan	nan	1	World	2016	_T	No breakdown	M	Male	Y55T64	55 to 64 years old	_T	Total or no breakdown by education level	61.1	PT	Percent	0	Units	nan	nan	ILO, Women and Men in the Informal Economy: A Statistical Picture, third edition, Geneva, 2018	https://www.ilo.org/global/publications/books/WCMS_626831/lang--en/index.html	nan	nan
S_1060	Proportion of informal employment in total employment, by age groups and sex	G	Global	0	Global	nan	nan	1	World	2016	_T	No breakdown	M	Male	Y_GE65	65 years old and over	_T	Total or no breakdown by education level	78.4	PT	Percent	0	Units	nan	nan	ILO, Women and Men in the Informal Economy: A Statistical Picture, third edition, Geneva, 2018	https://www.ilo.org/global/publications/books/WCMS_626831/lang--en/index.html	nan	nan
