SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1130	Proportion of women and men (15 years or older) with an account at a bank or other financial institution or with a mobile-money-service provider, by sex	G	Global	0	Global	nan	nan	1	World	2011	M	Male	Y_GE15	15 years old and over	54.75	PT	Percent	0	Units	nan	nan	The World Bank Findex Global database, 2017	nan	nan	nan
S_1130	Proportion of women and men (15 years or older) with an account at a bank or other financial institution or with a mobile-money-service provider, by sex	G	Global	0	Global	nan	nan	1	World	2011	F	Female	Y_GE15	15 years old and over	46.62	PT	Percent	0	Units	nan	nan	The World Bank Findex Global database, 2017	nan	nan	nan
S_1130	Proportion of women and men (15 years or older) with an account at a bank or other financial institution or with a mobile-money-service provider, by sex	G	Global	0	Global	nan	nan	1	World	2014	M	Male	Y_GE15	15 years old and over	65.58	PT	Percent	0	Units	nan	nan	The World Bank Findex Global database, 2017	nan	nan	nan
S_1130	Proportion of women and men (15 years or older) with an account at a bank or other financial institution or with a mobile-money-service provider, by sex	G	Global	0	Global	nan	nan	1	World	2014	F	Female	Y_GE15	15 years old and over	58.47	PT	Percent	0	Units	nan	nan	The World Bank Findex Global database, 2017	nan	nan	nan
S_1130	Proportion of women and men (15 years or older) with an account at a bank or other financial institution or with a mobile-money-service provider, by sex	G	Global	0	Global	nan	nan	1	World	2017	M	Male	Y_GE15	15 years old and over	72.27	PT	Percent	0	Units	nan	nan	The World Bank Findex Global database, 2017	nan	nan	nan
S_1130	Proportion of women and men (15 years or older) with an account at a bank or other financial institution or with a mobile-money-service provider, by sex	G	Global	0	Global	nan	nan	1	World	2017	F	Female	Y_GE15	15 years old and over	64.85	PT	Percent	0	Units	nan	nan	The World Bank Findex Global database, 2017	nan	nan	nan
S_1130	Proportion of women and men (15 years or older) with an account at a bank or other financial institution or with a mobile-money-service provider, by sex	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2017	M	Male	Y_GE15	15 years old and over	70.61953545	PT	Percent	0	Units	nan	nan	The World Bank Findex Global database, 2017	nan	nan	nan
S_1130	Proportion of women and men (15 years or older) with an account at a bank or other financial institution or with a mobile-money-service provider, by sex	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2017	F	Female	Y_GE15	15 years old and over	73.63685966	PT	Percent	0	Units	nan	nan	The World Bank Findex Global database, 2017	nan	nan	nan
S_1130	Proportion of women and men (15 years or older) with an account at a bank or other financial institution or with a mobile-money-service provider, by sex	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2017	M	Male	Y_GE15	15 years old and over	26.00771189	PT	Percent	0	Units	nan	nan	The World Bank Findex Global database, 2017	nan	nan	nan
S_1130	Proportion of women and men (15 years or older) with an account at a bank or other financial institution or with a mobile-money-service provider, by sex	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2017	F	Female	Y_GE15	15 years old and over	25.97871125	PT	Percent	0	Units	nan	nan	The World Bank Findex Global database, 2017	nan	nan	nan
