SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	HOUSEHOLD_TYPE	HOUSEHOLD_TYPE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2016	F	Female	4	Lone parents	13.5	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	29.89080992	-3.366387428	108	Burundi	2016	M	Male	4	Lone parents	1.3	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	28.04940161	53.54193075	112	Belarus	2009	F	Female	4	Lone parents	10.25	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	28.04940161	53.54193075	112	Belarus	2009	M	Male	4	Lone parents	1.17	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-101.6575058	57.72360191	124	Canada	2011	F	Female	4	Lone parents	6.9	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-101.6575058	57.72360191	124	Canada	2011	M	Male	4	Lone parents	1.72	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 14 August 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-84.19712782	9.970998683	188	Costa Rica	2011	F	Female	4	Lone parents	12.2	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	4	Country or Area	-84.19712782	9.970998683	188	Costa Rica	2011	M	Male	4	Lone parents	1.5	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	nan	nan
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	1999	F	Female	4	Lone parents	6.7	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	1995-1999	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
S_0190	Proportion of one-parent households by sex of parent	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	1999	M	Male	4	Lone parents	1.4	PT	Percent	0	Units	nan	nan	UNDESA, Population Division, Household Size & Composition 2019 (accessed on 6 July 2020).	https://population.un.org/Household/index.html#/countries/840	1995-1999	Data for 10 countries in Northern Africa and Western Asia (1995–2009); 23 countries in Latin America and the Caribbean (1995–2014); and 38 countries in sub-Saharan Africa (1995–2018).
