SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	ACTIVITY	ACTIVITY_DESC	SEX	SEX_DESC	AGE	AGE_DESC	URBANIZATION	URBANIZATION_DESC	MARITAL_STATUS	MARITAL_STATUS_DESC	DISABILITY_STATUS	DISABILITY_STATUS_DESC	ETHNICITY	ETHNICITY_DESC	INCOME_WEALTH_QUANTILE	INCOME_WEALTH_QUANTILE_DESC	OCCUPATION	OCCUPATION_DESC	TUS_ACTIVITY	TUS_ACTIVITY_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	HOUSEHOLD_TYPE	HOUSEHOLD_TYPE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0310	Minimum proficiency in reading in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	_T	Total	_T	Total	_T	No breakdown by disability	_T	Total or no breakdown by ethnicity	_T	Total (national average) or no breakdown	_T	Total or no breakdown by Occupation	_T	Total	ISCED11_1	Primary education	_T	Total	44.4	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0310	Minimum proficiency in reading in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	F	Female	_T	All age ranges or no breakdown by age	_T	Total	_T	Total	_T	No breakdown by disability	_T	Total or no breakdown by ethnicity	_T	Total (national average) or no breakdown	_T	Total or no breakdown by Occupation	_T	Total	ISCED11_1	Primary education	_T	Total	48.4	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0310	Minimum proficiency in reading in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	M	Male	_T	All age ranges or no breakdown by age	_T	Total	_T	Total	_T	No breakdown by disability	_T	Total or no breakdown by ethnicity	_T	Total (national average) or no breakdown	_T	Total or no breakdown by Occupation	_T	Total	ISCED11_1	Primary education	_T	Total	40.5	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0310	Minimum proficiency in reading in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	_T	Total	_T	Total	_T	No breakdown by disability	_T	Total or no breakdown by ethnicity	_T	Total (national average) or no breakdown	_T	Total or no breakdown by Occupation	_T	Total	ISCED11A_0_G23	Some primary education, grades 2 or 3	_T	Total	19.6	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0310	Minimum proficiency in reading in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	F	Female	_T	All age ranges or no breakdown by age	_T	Total	_T	Total	_T	No breakdown by disability	_T	Total or no breakdown by ethnicity	_T	Total (national average) or no breakdown	_T	Total or no breakdown by Occupation	_T	Total	ISCED11A_0_G23	Some primary education, grades 2 or 3	_T	Total	21.2	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0310	Minimum proficiency in reading in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	M	Male	_T	All age ranges or no breakdown by age	_T	Total	_T	Total	_T	No breakdown by disability	_T	Total or no breakdown by ethnicity	_T	Total (national average) or no breakdown	_T	Total or no breakdown by Occupation	_T	Total	ISCED11A_0_G23	Some primary education, grades 2 or 3	_T	Total	18.0	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	nan
S_0310	Minimum proficiency in reading in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	_T	Total	_T	Total	_T	No breakdown by disability	_T	Total or no breakdown by ethnicity	_T	Total (national average) or no breakdown	_T	Total or no breakdown by Occupation	_T	Total	ISCED11_1	Primary education	_T	Total	30.9	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	With Functional Difficulties
S_0310	Minimum proficiency in reading in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	F	Female	_T	All age ranges or no breakdown by age	_T	Total	_T	Total	_T	No breakdown by disability	_T	Total or no breakdown by ethnicity	_T	Total (national average) or no breakdown	_T	Total or no breakdown by Occupation	_T	Total	ISCED11_1	Primary education	_T	Total	34.7	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	With Functional Difficulties
S_0310	Minimum proficiency in reading in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	M	Male	_T	All age ranges or no breakdown by age	_T	Total	_T	Total	_T	No breakdown by disability	_T	Total or no breakdown by ethnicity	_T	Total (national average) or no breakdown	_T	Total or no breakdown by Occupation	_T	Total	ISCED11_1	Primary education	_T	Total	27.8	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	With Functional Difficulties
S_0310	Minimum proficiency in reading in Zimbabwe, by education level and sex (%)	G	Global	4	Country or Area	29.86909584	-19.00075492	716	Zimbabwe	2019	_T	No breakdown	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	_T	Total	_T	Total	_T	No breakdown by disability	_T	Total or no breakdown by ethnicity	_T	Total (national average) or no breakdown	_T	Total or no breakdown by Occupation	_T	Total	ISCED11_1	Primary education	_T	Total	45.9	PT	Percent	0	Units	C	Country data	2019 MICS	nan	nan	Without Functional Difficulties
