SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0320	Proportion of children and young people achieving at least a minimum proficiency level in mathematics, by sex	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2012	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	56.2434226630437	PT	PERCENT	0	Units	C	Country Data	UNESCO/UIS	nan	nan	PISA 2012
S_0320	Proportion of children and young people achieving at least a minimum proficiency level in mathematics, by sex	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2012	F	Female	ISCED11_2	Lower secondary education	57.73	PT	PERCENT	0	Units	C	Country Data	UNESCO/UIS	nan	nan	PISA 2012
S_0320	Proportion of children and young people achieving at least a minimum proficiency level in mathematics, by sex	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2012	M	Male	ISCED11_2	Lower secondary education	54.86	PT	PERCENT	0	Units	C	Country Data	UNESCO/UIS	nan	nan	PISA 2012
S_0320	Proportion of children and young people achieving at least a minimum proficiency level in mathematics, by sex	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2015	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	57.92654020592071	PT	PERCENT	0	Units	C	Country Data	UNESCO/UIS	nan	nan	PISA 2015
S_0320	Proportion of children and young people achieving at least a minimum proficiency level in mathematics, by sex	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2015	F	Female	ISCED11_2	Lower secondary education	59.388047571525895	PT	PERCENT	0	Units	C	Country Data	UNESCO/UIS	nan	nan	PISA 2015
S_0320	Proportion of children and young people achieving at least a minimum proficiency level in mathematics, by sex	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2015	M	Male	ISCED11_2	Lower secondary education	56.618536337966795	PT	PERCENT	0	Units	C	Country Data	UNESCO/UIS	nan	nan	PISA 2015
S_0320	Proportion of children and young people achieving at least a minimum proficiency level in mathematics, by sex	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2015	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	75.1170647254078	PT	PERCENT	0	Units	C	Country Data	UNESCO/UIS	nan	nan	TIMSS 2015
S_0320	Proportion of children and young people achieving at least a minimum proficiency level in mathematics, by sex	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2015	F	Female	ISCED11_1	Primary education	76.2573325264247	PT	PERCENT	0	Units	C	Country Data	UNESCO/UIS	nan	nan	TIMSS 2015
S_0320	Proportion of children and young people achieving at least a minimum proficiency level in mathematics, by sex	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2015	M	Male	ISCED11_1	Primary education	74.01882460954941	PT	PERCENT	0	Units	C	Country Data	UNESCO/UIS	nan	nan	TIMSS 2015
S_0320	Proportion of children and young people achieving at least a minimum proficiency level in mathematics, by sex	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2018	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	55.58715789511189	PT	PERCENT	0	Units	C	Country Data	UNESCO/UIS	nan	nan	PISA 2018
