SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	1998	F	Female	ISCED11_1	Primary education	20.07161	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	1998	M	Male	ISCED11_1	Primary education	13.7467	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	1998	F	Female	ISCED11_2	Lower secondary education	28.837529999999997	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	1998	M	Male	ISCED11_2	Lower secondary education	23.38991	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	1998	F	Female	ISCED11_3	Upper secondary education	52.85491	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	1998	M	Male	ISCED11_3	Upper secondary education	45.55611	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	1999	F	Female	ISCED11_1	Primary education	18.69749	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	1999	M	Male	ISCED11_1	Primary education	12.99623	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	1999	F	Female	ISCED11_2	Lower secondary education	28.94947	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	1999	M	Male	ISCED11_2	Lower secondary education	23.45385	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	1999	F	Female	ISCED11_3	Upper secondary education	52.8369	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	1999	M	Male	ISCED11_3	Upper secondary education	45.49007	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2000	F	Female	ISCED11_1	Primary education	17.740560000000002	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2000	M	Male	ISCED11_1	Primary education	12.36612	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2000	F	Female	ISCED11_2	Lower secondary education	28.154709999999998	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2000	M	Male	ISCED11_2	Lower secondary education	22.78525	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2000	F	Female	ISCED11_3	Upper secondary education	52.194359999999996	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2000	M	Male	ISCED11_3	Upper secondary education	45.41395	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2001	F	Female	ISCED11_1	Primary education	17.203689999999998	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2001	M	Male	ISCED11_1	Primary education	12.054960000000001	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2001	F	Female	ISCED11_2	Lower secondary education	27.40963	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2001	M	Male	ISCED11_2	Lower secondary education	22.48228	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2001	F	Female	ISCED11_3	Upper secondary education	51.3087	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2001	M	Male	ISCED11_3	Upper secondary education	45.335	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2002	F	Female	ISCED11_1	Primary education	16.75883	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2002	M	Male	ISCED11_1	Primary education	11.80471	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2002	F	Female	ISCED11_2	Lower secondary education	25.804779999999997	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2002	M	Male	ISCED11_2	Lower secondary education	21.58773	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2002	F	Female	ISCED11_3	Upper secondary education	50.263709999999996	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2002	M	Male	ISCED11_3	Upper secondary education	44.79625	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0240	Rate (percent) of out-of-school children, adolescents and youth	G	Global	0	Global	nan	nan	1	World	2003	F	Female	ISCED11_1	Primary education	14.39509	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
