SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	14.2	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2018	13.5	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	17.95874553	45.45172212	191	Croatia	2014	8.7	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	17.95874553	45.45172212	191	Croatia	2018	10.5	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	33.22285964	35.05659437	196	Cyprus	2014	14.2	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	33.22285964	35.05659437	196	Cyprus	2018	13.7	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	15.33151382	49.73913871	203	Czechia	2014	22.5	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	15.33151382	49.73913871	203	Czechia	2018	20.1	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	9.326571283	56.03829721	208	Denmark	2014	16.0	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	9.326571283	56.03829721	208	Denmark	2018	14.5	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	25.84093481	58.68487172	233	Estonia	2014	28.1	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	25.84093481	58.68487172	233	Estonia	2018	22.7	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	23.308447	61.91586738	246	Finland	2014	18.4	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	23.308447	61.91586738	246	Finland	2018	16.3	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	2.457288129	46.62660861	250	France	2014	15.5	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	2.457288129	46.62660861	250	France	2018	15.5	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	10.380606599999998	51.08862743	276	Germany	2014	22.3	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	10.380606599999998	51.08862743	276	Germany	2018	20.9	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	19.41221519	47.1651448	348	Hungary	2014	15.1	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	19.41221519	47.1651448	348	Hungary	2018	11.2	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	-7.121425272000001	53.25274054	372	Ireland	2014	13.9	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	-7.121425272000001	53.25274054	372	Ireland	2017	14.4	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	12.57022427	42.79917282	380	Italy	2014	6.1	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	12.57022427	42.79917282	380	Italy	2017	5.0	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	14.14172472	47.58704857	40	Austria	2014	22.2	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	14.14172472	47.58704857	40	Austria	2018	19.6	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	26.42461876	56.64196636	428	Latvia	2014	17.3	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	26.42461876	56.64196636	428	Latvia	2018	14.1	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	23.90517807	55.33680309	440	Lithuania	2014	13.3	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	23.90517807	55.33680309	440	Lithuania	2018	14.0	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	6.092656562999999	49.77679538	442	Luxembourg	2014	5.4	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	6.092656562999999	49.77679538	442	Luxembourg	2018	4.6	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	14.44617519	35.89194275	470	Malta	2014	10.6	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	14.44617519	35.89194275	470	Malta	2018	11.7	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	5.331480568	51.86728884	528	Netherlands	2014	16.2	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	5.331480568	51.86728884	528	Netherlands	2018	14.8	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	4.660976456	50.64104975	56	Belgium	2014	6.6	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	4.660976456	50.64104975	56	Belgium	2018	6.0	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	19.40660158	52.122673299999995	616	Poland	2014	7.7	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	19.40660158	52.122673299999995	616	Poland	2018	8.8	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
S_1040	Gender pay gap, EU-27 countries	R	Regional	4	Country or Area	-7.961599811	39.68509315	620	Portugal	2014	14.9	PT	Percent	0	Units	nan	nan	Eurostat	nan	nan	nan
