SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE	LOWER_BOUND	UPPER_BOUND	STD_ERROR	VAR_COEF	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0020	Total population by age, sex	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	2016	F	Female	Y_GE15	15 years old and over	43464520.0	43199355.84	43729684.16	161208.3609	0.370896448	NUMBER	Number	0	Units	C	Country Data	INEGI. National Survey on the Dynamics of Household Relations, 2016. Database	nan	nan	Includes women 15 years and older who have or have had at least one partner relationship
S_0020	Total population by age, sex	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	2016	F	Female	Y15T49	15 to 49 years old	30189840.0	29937418.75	30442261.25	153461.2229	0.508320756	NUMBER	Number	0	Units	C	Country Data	INEGI. National Survey on the Dynamics of Household Relations, 2016. Database	nan	nan	Includes women 15 years and older who have or have had at least one partner relationship
S_0020	Total population by age, sex	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	2016	F	Female	Y15T17	15 to 17 years old	2065765.0	1979449.1030000001	2152080.897	52476.33954	2.540286022	NUMBER	Number	0	Units	C	Country Data	INEGI. National Survey on the Dynamics of Household Relations, 2016. Database	nan	nan	Includes women 15 years and older who have or have had at least one partner relationship
S_0020	Total population by age, sex	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	2016	F	Female	Y18T19	18 to 19 years old	1711750.0	1636791.793	1786708.207	45571.353930000005	2.662266916	NUMBER	Number	0	Units	C	Country Data	INEGI. National Survey on the Dynamics of Household Relations, 2016. Database	nan	nan	Includes women 15 years and older who have or have had at least one partner relationship
S_0020	Total population by age, sex	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	2016	F	Female	Y20T24	20 to 24 years old	4636272.0	4521359.847	4751184.153	69861.6285	1.506849221	NUMBER	Number	0	Units	C	Country Data	INEGI. National Survey on the Dynamics of Household Relations, 2016. Database	nan	nan	Includes women 15 years and older who have or have had at least one partner relationship
S_0020	Total population by age, sex	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	2016	F	Female	Y25T29	25 to 29 years old	4495386.0	4391959.984	4598812.016	62878.5532	1.3987353519999999	NUMBER	Number	0	Units	C	Country Data	INEGI. National Survey on the Dynamics of Household Relations, 2016. Database	nan	nan	Includes women 15 years and older who have or have had at least one partner relationship
S_0020	Total population by age, sex	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	2016	F	Female	Y30T34	30 to 34 years old	4478550.0	4380696.683999999	4576403.316000001	59490.592079999995	1.328344935	NUMBER	Number	0	Units	C	Country Data	INEGI. National Survey on the Dynamics of Household Relations, 2016. Database	nan	nan	Includes women 15 years and older who have or have had at least one partner relationship
S_0020	Total population by age, sex	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	2016	F	Female	Y30T39	35 to 39 years old	4495525.0	4396489.453	4594560.547	60209.337210000005	1.339317148	NUMBER	Number	0	Units	C	Country Data	INEGI. National Survey on the Dynamics of Household Relations, 2016. Database	nan	nan	Includes women 15 years and older who have or have had at least one partner relationship
S_0020	Total population by age, sex	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	2016	F	Female	Y40T44	40 to 44 years old	4462025.0	4357318.404	4566731.596	63657.0904	1.426641276	NUMBER	Number	0	Units	C	Country Data	INEGI. National Survey on the Dynamics of Household Relations, 2016. Database	nan	nan	Includes women 15 years and older who have or have had at least one partner relationship
S_0020	Total population by age, sex	N	National	4	Country or Area	-102.5148166	23.93378032	484	Mexico	2016	F	Female	Y45T49	45 to 49 years old	3844567.0	3748534.6339999996	3940599.3660000004	58383.53272	1.518598394	NUMBER	Number	0	Units	C	Country Data	INEGI. National Survey on the Dynamics of Household Relations, 2016. Database	nan	nan	Includes women 15 years and older who have or have had at least one partner relationship
