SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0525	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	G	Global	0	Global	nan	nan	1	World	2000	F	Female	Y15T49	15 to 49 years old	73.6	PT	Percent	0	Units	E	Estimated	Estimates and Projections of Family Planning Indicators 2020, United Nations Population Division, Department of Economic and Social Affairs, United Nations.	nan	nan	nan
S_0525	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	G	Global	0	Global	nan	nan	1	World	2005	F	Female	Y15T49	15 to 49 years old	74.8	PT	Percent	0	Units	E	Estimated	Estimates and Projections of Family Planning Indicators 2020, United Nations Population Division, Department of Economic and Social Affairs, United Nations.	nan	nan	nan
S_0525	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	G	Global	0	Global	nan	nan	1	World	2010	F	Female	Y15T49	15 to 49 years old	75.7	PT	Percent	0	Units	E	Estimated	Estimates and Projections of Family Planning Indicators 2020, United Nations Population Division, Department of Economic and Social Affairs, United Nations.	nan	nan	nan
S_0525	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	G	Global	0	Global	nan	nan	1	World	2015	F	Female	Y15T49	15 to 49 years old	76.5	PT	Percent	0	Units	E	Estimated	Estimates and Projections of Family Planning Indicators 2020, United Nations Population Division, Department of Economic and Social Affairs, United Nations.	nan	nan	nan
S_0525	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	G	Global	0	Global	nan	nan	1	World	2020	F	Female	Y15T49	15 to 49 years old	76.8	PT	Percent	0	Units	E	Estimated	Estimates and Projections of Family Planning Indicators 2020, United Nations Population Division, Department of Economic and Social Affairs, United Nations.	nan	nan	nan
S_0525	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	G	Global	2	Sub-region	nan	nan	753	Eastern Asia and South-eastern Asia	2020	F	Female	Y15T49	15 to 49 years old	86.3	PT	Percent	0	Units	E	Estimated	Estimates and Projections of Family Planning Indicators 2020, United Nations Population Division, Department of Economic and Social Affairs, United Nations.	nan	nan	nan
S_0525	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	G	Global	2	Sub-region	nan	nan	53	Australia and New Zealand	2020	F	Female	Y15T49	15 to 49 years old	85.2	PT	Percent	0	Units	E	Estimated	Estimates and Projections of Family Planning Indicators 2020, United Nations Population Division, Department of Economic and Social Affairs, United Nations.	nan	nan	nan
S_0525	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	G	Global	2	Sub-region	nan	nan	419	Latin America and the Caribbean	2020	F	Female	Y15T49	15 to 49 years old	82.9	PT	Percent	0	Units	E	Estimated	Estimates and Projections of Family Planning Indicators 2020, United Nations Population Division, Department of Economic and Social Affairs, United Nations.	nan	nan	nan
S_0525	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	G	Global	1	Region	nan	nan	513	Northern America and Europe	2020	F	Female	Y15T49	15 to 49 years old	80.6	PT	Percent	0	Units	E	Estimated	Estimates and Projections of Family Planning Indicators 2020, United Nations Population Division, Department of Economic and Social Affairs, United Nations.	nan	nan	nan
S_0525	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	G	Global	2	Sub-region	nan	nan	62	Central Asia and Southern Asia	2020	F	Female	Y15T49	15 to 49 years old	71.7	PT	Percent	0	Units	E	Estimated	Estimates and Projections of Family Planning Indicators 2020, United Nations Population Division, Department of Economic and Social Affairs, United Nations.	nan	nan	nan
S_0525	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	G	Global	2	Sub-region	nan	nan	747	Western Asia and Northern Africa	2020	F	Female	Y15T49	15 to 49 years old	62.9	PT	Percent	0	Units	E	Estimated	Estimates and Projections of Family Planning Indicators 2020, United Nations Population Division, Department of Economic and Social Affairs, United Nations.	nan	nan	nan
S_0525	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	F	Female	Y15T49	15 to 49 years old	55.5	PT	Percent	0	Units	E	Estimated	Estimates and Projections of Family Planning Indicators 2020, United Nations Population Division, Department of Economic and Social Affairs, United Nations.	nan	nan	nan
S_0525	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	G	Global	2	Sub-region	nan	nan	543	Oceania excluding Australia and New Zealand	2020	F	Female	Y15T49	15 to 49 years old	52.1	PT	Percent	0	Units	E	Estimated	Estimates and Projections of Family Planning Indicators 2020, United Nations Population Division, Department of Economic and Social Affairs, United Nations.	nan	nan	nan
