SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0340	School completion rate	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	M	Male	ISCED11_2	Lower secondary education	92.31	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0340	School completion rate	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	M	Male	ISCED11_3	Upper secondary education	84.34	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0340	School completion rate	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	F	Female	ISCED11_2	Lower secondary education	92.78	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0340	School completion rate	G	Global	4	Country or Area	25.23763153	42.75731323	100	Bulgaria	2014	F	Female	ISCED11_3	Upper secondary education	75.59	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0340	School completion rate	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2016	M	Male	ISCED11_2	Lower secondary education	43.19079	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0340	School completion rate	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2016	M	Male	ISCED11_1	Primary education	81.80617	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0340	School completion rate	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2016	M	Male	ISCED11_3	Upper secondary education	13.08273	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0340	School completion rate	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2016	F	Female	ISCED11_2	Lower secondary education	44.37996	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0340	School completion rate	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2016	F	Female	ISCED11_1	Primary education	84.48334	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
S_0340	School completion rate	G	Global	4	Country or Area	96.51752295	21.19332882	104	Myanmar	2016	F	Female	ISCED11_3	Upper secondary education	19.590410000000002	PT	Percent	0	Units	nan	nan	UNESCO/UIS	nan	nan	nan
