SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	HOUSEHOLD_TYPE	HOUSEHOLD_TYPE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_0930	Labour force participation rate among people aged 25–54 years by sex, region with 3 or more children under age six in couple and extended family households	G	Global	0	Global	nan	nan	1	World	2020	F	Female	Y25T54	25 to 54 years old	5	Extended family	36.7	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2336	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0930	Labour force participation rate among people aged 25–54 years by sex, region with 3 or more children under age six in couple and extended family households	G	Global	0	Global	nan	nan	1	World	2020	M	Male	Y25T54	25 to 54 years old	5	Extended family	92.1	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2337	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0930	Labour force participation rate among people aged 25–54 years by sex, region with 3 or more children under age six in couple and extended family households	G	Global	0	Global	nan	nan	1	World	2020	F	Female	Y25T54	25 to 54 years old	3	Couples with children	52.2	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2336	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0930	Labour force participation rate among people aged 25–54 years by sex, region with 3 or more children under age six in couple and extended family households	G	Global	0	Global	nan	nan	1	World	2020	M	Male	Y25T54	25 to 54 years old	3	Couples with children	96.5	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2337	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0930	Labour force participation rate among people aged 25–54 years by sex, region with 3 or more children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	F	Female	Y25T54	25 to 54 years old	5	Extended family	65.9	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2348	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0930	Labour force participation rate among people aged 25–54 years by sex, region with 3 or more children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	M	Male	Y25T54	25 to 54 years old	5	Extended family	82.6	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2349	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0930	Labour force participation rate among people aged 25–54 years by sex, region with 3 or more children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	F	Female	Y25T54	25 to 54 years old	3	Couples with children	75.8	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2348	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0930	Labour force participation rate among people aged 25–54 years by sex, region with 3 or more children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	202	Sub-Saharan Africa	2020	M	Male	Y25T54	25 to 54 years old	3	Couples with children	95.5	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2349	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0930	Labour force participation rate among people aged 25–54 years by sex, region with 3 or more children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	35	South-Eastern Asia	2020	F	Female	Y25T54	25 to 54 years old	5	Extended family	59.5	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2350	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
S_0930	Labour force participation rate among people aged 25–54 years by sex, region with 3 or more children under age six in couple and extended family households	G	Global	2	Sub-region	nan	nan	35	South-Eastern Asia	2020	M	Male	Y25T54	25 to 54 years old	5	Extended family	92.5	PT	Percent	0	Units	M	Modeled	International Labour Organization (ILO), Department of Statistics (ILOSTAT), ILO modelled estimates and projections, 2351	https://ilostat.ilo.org/resources/methods/ilo-modelled-estimates	nan	nan
