SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	MINISTER_PORTFOLIO	MINISTER_PORTFOLIO_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1340	Total number of core ministers	G	Global	4	Country or Area	28.04940161	53.54193075	112	Belarus	2017	_T	Both sexes or no breakdown by sex	_T	Total	6.0	NUMBER	Number	0	Units	nan	nan	UNECE	https://w3.unece.org/PXWeb2015/pxweb/en/STAT/STAT__30-GE__05-PublicAnddecision/	nan	nan
S_1340	Total number of core ministers	G	Global	4	Country or Area	-101.6575058	57.72360191	124	Canada	2017	_T	Both sexes or no breakdown by sex	_T	Total	31.0	NUMBER	Number	0	Units	nan	nan	UNECE	https://w3.unece.org/PXWeb2015/pxweb/en/STAT/STAT__30-GE__05-PublicAnddecision/	nan	nan
S_1340	Total number of core ministers	G	Global	4	Country or Area	17.95874553	45.45172212	191	Croatia	2017	_T	Both sexes or no breakdown by sex	_T	Total	6.0	NUMBER	Number	0	Units	nan	nan	UNECE	https://w3.unece.org/PXWeb2015/pxweb/en/STAT/STAT__30-GE__05-PublicAnddecision/	nan	nan
S_1340	Total number of core ministers	G	Global	4	Country or Area	33.22285964	35.05659437	196	Cyprus	2017	_T	Both sexes or no breakdown by sex	_T	Total	5.0	NUMBER	Number	0	Units	nan	nan	UNECE	https://w3.unece.org/PXWeb2015/pxweb/en/STAT/STAT__30-GE__05-PublicAnddecision/	nan	nan
S_1340	Total number of core ministers	G	Global	4	Country or Area	15.33151382	49.73913871	203	Czechia	2017	_T	Both sexes or no breakdown by sex	_T	Total	6.0	NUMBER	Number	0	Units	nan	nan	UNECE	https://w3.unece.org/PXWeb2015/pxweb/en/STAT/STAT__30-GE__05-PublicAnddecision/	nan	nan
S_1340	Total number of core ministers	G	Global	4	Country or Area	15.33151382	49.73913871	203	Czechia	2018	_T	Both sexes or no breakdown by sex	_T	Total	6.0	NUMBER	Number	0	Units	nan	nan	UNECE	https://w3.unece.org/PXWeb2015/pxweb/en/STAT/STAT__30-GE__05-PublicAnddecision/	nan	nan
S_1340	Total number of core ministers	G	Global	4	Country or Area	9.326571283	56.03829721	208	Denmark	2017	_T	Both sexes or no breakdown by sex	_T	Total	6.0	NUMBER	Number	0	Units	nan	nan	UNECE	https://w3.unece.org/PXWeb2015/pxweb/en/STAT/STAT__30-GE__05-PublicAnddecision/	nan	nan
S_1340	Total number of core ministers	G	Global	4	Country or Area	25.84093481	58.68487172	233	Estonia	2017	_T	Both sexes or no breakdown by sex	_T	Total	6.0	NUMBER	Number	0	Units	nan	nan	UNECE	https://w3.unece.org/PXWeb2015/pxweb/en/STAT/STAT__30-GE__05-PublicAnddecision/	nan	nan
S_1340	Total number of core ministers	G	Global	4	Country or Area	23.308447	61.91586738	246	Finland	2017	_T	Both sexes or no breakdown by sex	_T	Total	6.0	NUMBER	Number	0	Units	nan	nan	UNECE	https://w3.unece.org/PXWeb2015/pxweb/en/STAT/STAT__30-GE__05-PublicAnddecision/	nan	nan
S_1340	Total number of core ministers	G	Global	4	Country or Area	23.308447	61.91586738	246	Finland	2018	_T	Both sexes or no breakdown by sex	_T	Total	6.0	NUMBER	Number	0	Units	nan	nan	UNECE	https://w3.unece.org/PXWeb2015/pxweb/en/STAT/STAT__30-GE__05-PublicAnddecision/	nan	nan
